Course Nbr,Course Title,Career,Credits,Prerequisites
CSE 101,Computer Science Principles,Undergraduate,3.0,"[['CSE 114', 'CSE 160']]"
CSE 102,Introduction to Web Design and Programming,Undergraduate,3.0,[['CSE 101']]
CSE 110,Introduction to Computer Science,Undergraduate,3.0,NONE
CSE 113,Foundations of Computer Science I,Undergraduate,4.0,"[['AMS 151', 'MAT 125', 'MAT 131']]"
CSE 114,Introduction to Object-Oriented Programming,Undergraduate,4.0,"[['CSE 101', 'ISE 108']]"
CSE 130,Introduction to Programming in C,Undergraduate,3.0,NONE
CSE 150,Foundations of Computer Science: Honors,Undergraduate,4.0,NONE
CSE 160,Computer Science A: Honors,Undergraduate,3.0,[['CSE 161']]
CSE 161,Laboratory for Computer Science A: Honors,Undergraduate,1.0,[['CSE 160']]
CSE 190,Special Topics in Practice and Applications of Computer Science,Undergraduate,3.0,NONE
CSE 191,Special Topics in Practice and Applications for Computer Science,Undergraduate,3.0,NONE
CSE 192,Special Topics in Practice and Applications for Computer Science,Undergraduate,3.0,NONE
CSE 213,Foundations of Computer Science II,Undergraduate,4.0,[['CSE 113']]
CSE 214,Data Structures,Undergraduate,4.0,[['CSE 114']]
CSE 215,Foundations of Computer Science,Undergraduate,4.0,"[['AMS 151', 'MAT 125', 'MAT 131']]"
CSE 216,Programming Abstractions,Undergraduate,4.0,[['CSE 214']]
CSE 220,Systems Fundamentals I,Undergraduate,4.0,"[['CSE 214', 'CSE 260']]"
CSE 230,Intermediate Programming in C and C++,Undergraduate,3.0,"[['CSE 130', 'CSE 220', 'ESE 124', 'ESG 111', 'BME 120', 'MEC 102']]"
CSE 260,Computer Science B: Honors,Undergraduate,3.0,"[['CSE 160', 'CSE 261']]"
CSE 261,Laboratory for Computer Science B: Honors,Undergraduate,1.0,[['CSE 260']]
CSE 300,Technical Communications,Undergraduate,3.0,[['WRT 102']]
CSE 301,History of Computing,Undergraduate,3.0,NONE
CSE 303,Introduction to the Theory of Computation,Undergraduate,3.0,"[['CSE 160', 'CSE 214'], ['CSE 150', 'CSE 215']]"
CSE 304,Compiler Design,Undergraduate,3.0,"[['CSE 216', 'CSE 260'], ['CSE 220', 'CSE 303', 'CSE 350']]"
CSE 305,Principles of Database Systems,Undergraduate,3.0,"[['CSE 216', 'CSE 260']]"
CSE 306,Operating Systems,Undergraduate,3.0,"[['CSE 216', 'CSE 260'], ['CSE 320', 'ESE 380']]"
CSE 307,Principles of Programming Languages,Undergraduate,3.0,"[['CSE 216', 'CSE 260'], ['CSE 220']]"
CSE 310,Computer Networks,Undergraduate,3.0,"[['CSE 214'], ['CSE 220', 'ISE 218'], ['AMS 310']]"
CSE 311,Systems Administration,Undergraduate,3.0,"[['CSE 214', 'CSE 230', 'CSE 260', 'ISE 208']]"
CSE 312,"Social, Legal, and Ethical Issues in Computing",Undergraduate,3.0,NONE
CSE 316,Fundamentals of Software Development,Undergraduate,3.0,"[['CSE 216', 'CSE 260']]"
CSE 320,Systems Fundamentals II,Undergraduate,3.0,[['CSE 220']]
