CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description
AST100,Astronomy Today,Undergraduate,1.0,NONE,NONE,"Seminar designed to introduce students to the excitement of modern astronomy, focusing on the most recent discoveries, as reported in the media. The course provides sufficient scientific background to enable students to understand the impact of these discoveries."
AST101,Introduction to Astronomy,Undergraduate,3.0,NONE,NONE,"Description of planets, stars, galaxies, black holes, pulsars, quasars, supernovae, and white dwarfs. Man's place in the cosmos. Cosmological theories. Students with better science preparation are encouraged to take AST 203. Not for major credit. Not for credit in addition to AST 203."
AST105,Introduction to the Solar System,Undergraduate,3.0,NONE,NONE,"A general survey of present knowledge of the planets, satellites, interplanetary medium, comets, asteroids, and outer regions of the sun. Begins with a historical introduction and discussion of the methods of science. Emphasizes current NASA deep-space exploration missions and other modern astronomical methods. Not for major credit. Not for credit in addition to AST 205 or GEO 106."
AST112,Astronomy Laboratory,Undergraduate,1.0,[['AST101']],NONE,"An introduction to observational activities in astronomy. Students make astronomical measurements using simple instruments such as a quadrant, cross-staff, spectrometer, and telescope; analyze measurements; examine how quantities of interest and their errors are derived from the measurements and how they are properly reported. Not for major credit. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information."
AST200,Current Astronomical Research at Stony Brook,Undergraduate,1.0,NONE,NONE,"Seminar designed to introduce students to astronomical research currently underway at Stony Brook. Faculty actively engaged in cutting edge research using facilities such as the Hubble space telescope, the CHANDRA X-Ray Observatory, the Keck and Gemini telescopes, or supercomputers give presentations on their own research. Appropriate for students considering undergraduate research in astronomy as well as students interested in current astronomy."
AST203,Astronomy,Undergraduate,4.0,"[['PHY125', 'PHY131', 'PHY141']]",NONE,A survey of the physical nature of the universe for the student with some background in physics and mathematics. May not be taken for credit in addition to AST 101. Optional evening observing sessions with be held during the semester.
AST205,Introduction to Planetary Sciences,Undergraduate,3.0,"[['PHY125', 'PHY131', 'PHY141']]",NONE,"An introduction to the solar system for the student with a background in mathematics or physical sciences. A survey of the planets, comets, asteroids, and interplanetary medium, based upon the latest scientific discoveries. Not for credit in addition to AST 105 or GEO 106."
AST248,The Search for Life in the Universe,Undergraduate,3.0,NONE,NONE,A study of the role of science in modern society through investigation of the question: Does life exist elsewhere in the universe? Topics include a review of the astronomical and biological settings; the origin of life on the earth and possibly elsewhere; the evolution of life and the development of intelligence and technology. Also discussed are the ramifications of the development of life and intelligence for the atmosphere and the biosphere.
AST287,Introductory Research in Astronomy,Undergraduate,0.00 - 3.00,NONE,NONE,"Independent research under the supervision of a faculty member, at a level appropriate for lower-division students. May be repeated."
AST301,Collisions in the Solar System,Undergraduate,3.0,"[['MAT125', 'AMS151'], ['PHY121', 'PHY125', 'PHY131', 'PHY141']]",NONE,"A discussion of the evidence that comet and asteroid impacts have played a significant part in the evolution of the Earth, and other planets of the solar system, as well as an assessment of the actual and perceived hazard posed by terrestrial impacts and discussion of what can be done about it. The course follows an interdisciplinary approach and is not for major credit."
AST341,Stars and Radiation,Undergraduate,3.0,"[['AST203'], ['PHY251'], ['PHY277'], ['MAT203', 'AMS261']]",NONE,"An introduction to, and development of, a firm physical understanding of the observed properties of stars.  Topics include the structure of the interior and atmosphere of stars, the transfer of energy by radiation in plasmas, the evolution of stars, and the end stages of stellar evolution, including white dwarfs, neutron stars, black holes and supernovae, with careful attention to the comparison of the predictions with observations."
AST345,Undergraduate Research in Astronomy,Undergraduate,0.00 - 1.00,NONE,NONE,Student participation in faculty-directed research projects.
AST346,Galaxies,Undergraduate,3.0,"[['AST203'], ['PHY251'], ['MAT203', 'AMS261']]",NONE,"An introduction to the properties of galaxies, including the Milky Way and others. Examination of the physical processes that govern the stars, dust, and gas in galaxies. Stellar constituents of galaxies, equilibria of collisionless systems, gas dynamics, and radiative processes."
AST347,Cosmology,Undergraduate,3.0,"[['AST203'], ['PHY251'], ['MAT203', 'AMS261']]",NONE,"An introduction to physical cosmology. Examination of the physical properties that govern the galaxies and intergalactic matter in the universe. Expansion of the universe and the Friedmann equations, microwave background variation, thermal history of the universe, and nucleosynthesis."
AST389,Science Fiction,Undergraduate,3.0,[['WRT102']],NONE,"The literary genre called Science Fiction enables us to explore our nature, and that of the universe we inhabit, by postulating worlds, cultures and technologies that do not (yet) exist, but could, and the consequences thereof. This course focuses on the sub-genre called hard science fiction, in which the science/technology is more or less plausible. Students should be prepared to address the genre from both its scientific and literary sides. Covers the Genre / Media topic for the English major. This course is offered as  both  AST 389 and EGL 389."
AST390,Special Topics in Astrophysics and Cosmology,Undergraduate,3.0,"[['AST203', 'PHY277', 'MAT203', 'AMS261']]",NONE,"Covers selected topics in astrophysics and cosmology, such as black holes, neutron stars, and gravitational waves; computational astrophysics; astrobiology and exoplanets; high-energy astrophysics; etc. Topics may be repeated every few years. May be repeated to a maximum of 6 credits under different course topics."
AST443,Observational Techniques in Astronomy,Undergraduate,4.0,"[['AST203'], ['PHY277'], ['WRT102']]",NONE,An introduction to modern astronomical instrumentation and data handling and to the use of telescopes. Emphasis on techniques and equipment appropriate for wavelengths shorter than one micron. Extensive laboratory and observing exercises are required. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.
AST444,Experiential Learning,Undergraduate,0.0,[['WRT102']],NONE,"This course is designed for students who engage in a substantial, structured experiential learning activity in conjunction with another class. Experiential learning occurs when knowledge acquired through formal learning and past experience are applied to a ""real-world"" setting or problem to create new knowledge through a process of reflection, critical analysis, feedback and synthesis. Beyond-the-classroom experiences that support experiential learning may include: service learning, mentored research, field work, or an internship."
