CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
BIO103,Introduction to Biotechnology,Undergraduate,3.0,NONE,NONE,NONE,"Gene therapy, genetic modification, cloning, stem cells, and vaccines are covered in this course. Lectures and four supplemental laboratory activities use modern equipment and techniques to illustrate core concepts which class discussions relate to health, society, and public policy. Not for Biology major credit.",1,1
BIO113,General Ecology,Undergraduate,3.0,NONE,NONE,NONE,"A survey of the principles of ecology in the context of finding solutions to local, national, and global environmental problems. Not for Biology major credit.",1,1
BIO114,Dinosaur Paleontology,Undergraduate,3.0,NONE,NONE,NONE,"A study of paleontology that includes evolution of dinosaurs, their classification
system, a study of the important dinosaur families, dinosaur behavior, ecology,
current controversies, hot topics and the KT extinction. Dinosaur paleontology will also cover the excavation of dinosaurs and the colorful history of the 'dinosaur hunters.' This course will emphasize the science and research involved in studying dinosaurs. Using dinosaurs as a vehicle, students will be exposed to the scientific method of inquiry and will leave this course with a better understanding on how to evaluate science in the real world. Not for Biology major credit.",1,1
BIO115,Evolution and Society,Undergraduate,3.0,NONE,NONE,NONE,"An introduction to the historical and theoretical aspects of evolutionary biology, and also considers the implications of evolution for current social and public issues. The course examines both the original Darwinian and Modern Synthetic arguments for evolution by natural selection, how to differentiate scientific and non-scientific theories, and how historical sciences are practiced by scientists. Evolution is the key to understanding much of biology and influences a number of issues that we as citizens will have to consider in coming years. In particular, the evolutionary perspective and its implications for the development of humans and other social systems, the advent of agriculture, and its integral role in human health are considered. Not for Biology major credit.",1,1
BIO201,Fundamentals of Biology: Organisms to Ecosystems,Undergraduate,3.0,NONE,NONE,NONE,"An introduction to the major concepts in evolution, ecology, and biodiversity at the genetic, organismal, community, and ecosystem levels. Topics are presented in relation to five overall themes: Nature and Process of Science, Evolution, Information Flow, Systems, and Structure-Function. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
BIO202,Fundamentals of Biology: Molecular and Cellular Biology,Undergraduate,3.0,"[['CHE129', 'CHE131']]",NONE,NONE,"The fundamentals of cell biology, biochemistry, and genetics. The biochemical and molecular bases of cell structure, energy metabolism, gene regulation, heredity, and development in living organisms from bacteria to man are discussed. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
BIO203,Fundamentals of Biology: Cellular and Organ Physiology,Undergraduate,3.0,"[['CHE129', 'CHE131']]",NONE,"[['MAT125', 'AMS151']]","The fundamentals of cell and organ physiology in mammalian and non-mammalian organisms. The structure and function of cell membranes and the physiology of cell to cell signaling, cellular respiration, and homeostasis of organs and organisms are examined with an emphasis on the comparative physiology of vertebrates and invertebrates. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
BIO204,Fundamentals of Scientific Inquiry in the Biological Sciences I,Undergraduate,2.0,"[['CHE129', 'CHE131']]",NONE,"[['CHE152', 'BIO201', 'BIO202', 'BIO203']]","First course in the foundational laboratory sequence for all biology students, and students in related fields.  Students will experience the laboratory process, research process, a wide range of laboratory tools, methods, skills, learn to read and write scientific presentations, and collaborate in formal inquiry. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information. This course includes assignments that can be used to satisfy the SBC objective SPK if co-registered for BIO 458.",1,1
BIO205,Fundamentals of Scientific Inquiry in the Biological Sciences IIA,Undergraduate,2.0,[['BIO204']],NONE,"[['BIO201', 'BIO202', 'BIO203']]","Second course in the foundational laboratory sequence for all biology students, and students in related fields.  Students will experience the laboratory process, research process, a wide range of laboratory tools, methods, skills, learn to read and write scientific presentations, and collaborate in formal inquiry. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. Not for credit in addition to BIO 207. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
BIO207,Fundamentals of Scientific Inquiry in the Biological Sciences IIB,Undergraduate,2.0,[['BIO204']],NONE,"[['BIO201', 'BIO202', 'BIO203']]","An alternative to BIO 205, this course focuses on a relatively narrow range of current research topics but in greater depth. BIO 207 is the second course in the foundational laboratory sequence for all biology majors and students in related fields. Students will experience the laboratory process, research process, a wide range of laboratory tools, methods, and skills, learn to read and write scientific works, and collaborate in formal inquiry. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. Not for credit in addition to BIO 205. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
BIO208,"Cells, Brains, Minds",Undergraduate,3.0,NONE,NONE,NONE,"An interdisciplinary exploration and critique of neuroscience. The course will present biological, anthropological and philosophical perspectives on how nervous systems work and how brains evolve, develop and give rise to human and other minds. Not for Biology major credit.",1,1
BIO211,Statistics and Data Analysis: A Conceptual Approach,Undergraduate,4.0,NONE,NONE,[['MAT123']],"A conceptually-focused introduction to probability and data analysis emphasizing statistical literacy and critical thinking. Topics will include probability, t-tests, chi-squared tests, correlation, regression, and Analysis of Variance, as well as special topics of interest to undergraduate Biology majors such as case-control studies and meta-analysis. This course includes a one-hour recitation in which students will do hands-on activities, discuss papers from the primary literature, and gain experience with data analysis. May
not be taken by students with credit for AMS 110, 310, 311, 412, EBH 230,  or  ECO 320.",1,1
BIO231,"Cannabis: History, Culture, Science & Medicinal Uses",Undergraduate,3.0,[['BIO202']],NONE,NONE,"Provide a sound background in all aspects of cannabis, including the history of use worldwide, cannabis plant biology, the chemistry of cannabinoids and endocannabinoids, and the relationship to political, legal, and racism issues throughout history to the present. The purpose of this broad familiarization is to prepare students to contribute knowledgeably to the discussion and debate regarding the present and future uses of cannabis.",1,1
BIO299,Advanced Microbiology for Nursing and Allied Health,Undergraduate,4.0,"[['BIO202'], ['BIO204']]",NONE,NONE,"This course will include lectures, laboratory recitations, and laboratory sessions focused on fundamental clinical Microbiology techniques. The lectures will cover Bacteria, Viruses, Helminths, and medically important Protozoans. In the laboratory, students will learn basic and applied clinical microbiology methods, including microscopy; staining and quantitative analysis of bacteria; analysis of throat and urine cultures; and determination of sensitivity to various antimicrobial agents. Priority for this course will be given to allied health, pre-nursing, and pre-veterinary students. May not be used for credit towards either the Biology major or minor. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information. Formerly offered as BIO 266; not for credit in addition to BIO 266.",1,1
BIO306,Principles of Virology,Undergraduate,3.0,[['BIO202']],NONE,NONE,"Covers the principles of virology, focusing mainly on animal and human viruses, but also including plant viruses and bacteriophage. Topics include the classification of viruses, virus entry, genome replication and assembly, and viral pathogenesis. Particular emphasis is placed on virus-host cell interactions and common features between different virus families. Recommended for those planning to attend medical school, graduate school or Veterinary college, or anyone who is interested in what viruses are and how they cause disease.",1,1
BIO310,Cell Biology,Undergraduate,3.0,"[['BIO202'], ['BIO203'], ['CHE321', 'CHE331', 'CHE341']]",NONE,NONE,"The cell is studied as the unit of structure, biochemical activity, genetic control, and differentiation. The principles of biochemistry and genetics are applied to an understanding of nutrition, growth, and development.",1,1
BIO312,Bioinformatics and Computational Biology,Undergraduate,3.0,"[['BIO202'], ['BIO204'], ['MAT125', 'AMS151']]",NONE,"[['AMS110', 'BIO211']]",This course uses computational methods to analyze current problems and solutions in molecular biology research. Students are exposed to algorithms and tools available for both single gene and larger scale genome research. Emphasis is on practical application. Laboratories allow students to apply their knowledge to real life molecular biology problems. This course routinely offers an opportunity to satisfy the Stony Brook Curriculum WRTD and Upper Division Writing Requirements for the Biology and Biochemistry majors. Students who intend to use the writing assignment in this course to satisfy these requirements must register for BIO 459 when they register for BIO 312.,1,1
BIO314,Cancer Biology,Undergraduate,3.0,[['BIO202']],NONE,NONE,"An examination of the biology of cancer. Emphasis is on molecular and cellular events, such as regulation of gene expression, genome maintenance, cell growth and death, differentiation, cell-cell recognition, signaling and homeostasis that are frequently disrupted in cancer. Recent advances in diagnosis and therapy will also be discussed.",1,1
BIO315,Microbiology,Undergraduate,3.0,[['BIO202']],NONE,[['BIO201']],"The organization, structure, energetics, and reproduction of microorganisms. Interactions of bacteria and viruses are discussed. This course does not include a laboratory component. Not for credit in addition to HBM 320. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
BIO316,Molecular Immunology,Undergraduate,3.0,"[['BIO202'], ['BIO203']]",NONE,"[['CHE322', 'CHE326', 'CHE332']]","Structure, function, and organization of the immune response at the molecular and cellular levels. Molecular mechanisms of immunological responses to microorganisms and various disease states are explored.",1,1
BIO317,Principles of Cellular Signaling,Undergraduate,3.0,"[['BIO202', 'BIO203']]",NONE,NONE,"Basic principles of cellular signaling and maintenance of cellular and organismic homeostasis through intra- and intercellular signaling mechanisms. The roles of membrane and nuclear receptors, second-messenger pathways and gene regulation in controlling diverse mammalian systems such as sensory physiology, organic metabolism, growth control, and neuronal development are discussed.",1,1
BIO319,Landscape Ecology Laboratory,Undergraduate,3.0,"[['AMS110', 'BIO211'], ['BIO351']]",NONE,[['BIO201']],"A computer lab course focusing on spatial concepts, methods, and tools for addressing ecological and environmental problems. The course will be based on fundamental concepts in ecology and environmental science and extend that knowledge, as well as teaching technical skills, including the use of geographic information systems (GIS) software, image processing, spatially explicit modeling, and spatial statistics. The lab exercises will introduce a variety of spatial approaches addressing problems in environmental protection, ecotoxicology, natural resource management, conservation biology, and wildlife management.",1,1
BIO320,General Genetics,Undergraduate,3.0,"[['BIO202'], ['MAT125', 'AMS151', 'MAT126']]",NONE,NONE,"Integrates classical and molecular approaches to the transmission and expression of biological information. Topics include: Mendelian and non-Mendelian inheritance; linkage analysis; population genetics; DNA replication, mutation and recombination; gene expression and its regulation; current genetic technology; developmental and cancer genetics, quantitative and complex traits, and relevant ethical issues. Cannot be taken for major credit with BIO 321 (applies to Biology majors Only). This course routinely offers an opportunity to satisfy the Stony Brook Curriculum WRTD and Upper Division Writing Requirements for the Biology and Biochemistry majors. Students who intend to use the writing assignment in this course to satisfy these requirements must register for BIO 459 when they register for BIO 320.",1,1
BIO321,Ecological Genetics,Undergraduate,3.0,"[['BIO201'], ['BIO202']]",NONE,[['BIO351']],"An introduction to the concepts, research questions, and methods involved in modern ecological genetics. The goal of the course is to provide a broad conceptual framework and an introduction to basic quantitative methods for students planning to engage in empirical work in conservation, management, ecology, and evolutionary biology. The course will cover basic Mendelian genetics, meiosis, and mating systems, standard population genetics methods for describing variation within and between populations, basic quantitative genetics, methods for molecular marker genotyping, informatic and genomic concepts, and organism-specific methods and case studies. Cannot be taken for major credit with BIO 320 (applies to Biology majors only). This course routinely offers an opportunity to satisfy the Stony Brook Curriculum WRTD and Upper Division Writing Requirements for the Biology and Biochemistry majors. Students who intend to use the writing assignment in this course to satisfy these requirements must register for BIO 459 when they register for BIO 321.",1,1
BIO325,Animal Development,Undergraduate,3.0,[['BIO202']],NONE,NONE,"An overview of animal embryonic development, emphasizing molecular mechanisms regulating embryonic growth and differentiation. General areas to be discussed include: molecular basis of human birth defects, stem cells, identification of developmental genes, establishing polarity in Drosophila and vertebrates, regulation of cell differentiation, morphogenesis and organ development, development of cancer.",1,1
BIO327,Developmental Genetics Laboratory,Undergraduate,3.0,"[['BIO325'], ['BIO205', 'BIO207']]",NONE,"[['BIO320', 'BIO321', 'EBH302']]","Exploration of the fundamental concepts in developmental biology and genetics through a combination of classical and modern molecular genetic approaches. Experiments are conducted using C. elegans and Nematostella, two important animal models for research in developmental biology and genetics. Students gain hands-on experience with the approaches used to investigate processes that control embryonic development on these two model systems, including the use of modern molecular methods for examining the regulation of gene expression during development. Exposure to the genetic approaches that are available in the C. elegans system will include participation in a genetic screen. This course includes assignments that can be used to satisfy the SBC objective SPK if co-registered for BIO 458. This course routinely offers an opportunity to satisfy the Stony Brook Curriculum WRTD and Upper Division Writing Requirements for the Biology and Biochemistry majors. Students who intend to use the writing assignment in this course to satisfy these requirements must register for BIO 459 when they register for BIO 327. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
