CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring1,fall1,spring2,fall2
BME100,Introduction to Biomedical Engineering,Undergraduate,3.0,NONE,NONE,NONE,"A rigorous introduction to biomedical engineering that provides the historical and social context of BME though contemporary emerging areas within BME. Specific areas covered in depth include: bioelectricity and biosensors (action potentials to signal processing), bioimaging (invasive and non-invasive), genetic engineering (with ethical discussions), and biostatistics. Hands-on computational modeling introduces the physiological concept of positive and negative feedback loops in the body. Emphasis is placed on ways engineers view the living system by using design based approaches and computation.",1,1,1,1
BME120,Programming Fundamentals in Biomedical Engineering,Undergraduate,3.0,NONE,NONE,NONE,"This course will introduce the theory and fundamentals of computer programming specifically designed for the applications in biomedical engineering.  Students will learn the basic computer architecture and the interaction between the computer hardware, operating system and application software.  The course focus will be on the programming control logic and style critical to all programming languages including C and MATLAB.  several core and elective courses in biomedical engineering use MATLAB as a key programming language, and therefore MATLAB will be the primary language used to teach the above mentioned programming principles.  This course will also serve as the foundation where the students can pursue further advanced programming skills.",1,1,1,1
BME200,Bioengineering in Extreme Environments,Undergraduate,3.0,NONE,NONE,NONE,"Technology at the human-engineering interface that enables human life in harsh environments, including high temperatures, high altitude, deep sea and outer space. Emphasis on the technical design requirements of the bio-engineering interface that will enable life to thrive. Physiological limits to survival will be examined within the context of when the bio-engineering technology is required.  This course may not be taken for major credit.",1,1,1,1
BME203,Emergent Biodesign,Undergraduate,3.0,NONE,NONE,NONE,"This course is designed to provide students with early team-based design experience. Students will learn CAD, 3D printing, microcontroller programming and have hands-on experience in prototyping to solve bite-sized real engineering problems. Students will engage in teamwork, and be exposed to clinical settings to learn how to identify clinical needs.",1,1,1,1
BME205,Clinical Challenges of the 21st Century,Undergraduate,3.0,NONE,NONE,NONE,"Technology used by current medical practice, focusing on weekly topics associated with a specific disease state.  Technology used to diagnose and treat these disease states will be rigorously examined. Weekly topics will include: cancer, cardiovascular disease, Alzheimer's, obesity, diabetes, osteoporosis, osteoarthritis, and organ transplant. Key disease states will be presented in physiological and cellular depth. This course may not be taken for major credit.",1,1,1,1
BME210,Applied Biostatistics,Undergraduate,3.0,[['BME100']],NONE,NONE,"Students will learn an array of biostatistical techniques to correctly describe and analyze experimental data. The emphasis will be on how to select and apply statistical methods for common statistical tasks encountered in biomedical engineering, rather than on the math underlying individual methods. Statistical software will be heavily used for active learning. Not for credit in addition to AMS 102, 110, POL 201, PSY 201 and SOC 202.",1,1,1,1
BME212,Biomedical Engineering Research Fundamentals,Undergraduate,3.0,[['BME100']],NONE,[['BIO202']],"Introduction to data collection and analysis in the context of biophysical measurements commonly used by bioengineers. Statistical measures, hypothesis testing, linear regression, and analysis of variance are introduced in an application-oriented manner. Data collection methods using various instruments, A/D boards, and PCs as well as LabView, a powerful data collection computer package. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
BME260,Statics and Dynamics in Biological Systems,Undergraduate,4.0,"[['BME100'], ['AMS161'], ['PHY125']]",NONE,NONE,"Fundamentals of engineering statics and dynamics on biological systems will be covered using vector methods. Covered topics will include free body diagrams, equilibrium of systems, rectilinear kinetics and kinematics, angular kinetics and kinematics, work, energy and momentum of biological systems. In parallel, the necessary anatomy and physiology of the organ systems including the musculoskeletal system, the nervous system and the cardiovascular system will be covered. This material will lead to a discussion on kinesiology.",1,1,1,1
BME271,Introduction to Electric Circuits and Bioelectricity,Undergraduate,3.0,"[['AMS161', 'MAT127'], ['PHY127', 'PHY132', 'PHY142']]",NONE,NONE,"As an introductory course to circuit design, we begin with fundamental theory of circuit analysis, including lumped time-invariant models of resistors, capacitors, inductors, Ohm's Law, Kirchoff's Laws, nodal and mesh analysis techniques, two-port equivalent circuits, and steady-state AC circuits. The applications of basic circuit analysis techniques in biomedical instrumentation and biological circuitry will be discussed throughout the entire class. In the final part of the course, the principles of cell electrophysiology, bio-potentials and electrical interactions with tissue will be studied. Not for credit in addition to ESE 271.",1,1,1,1
BME300,Writing in Biomedical Engineering,Undergraduate,0.0,[['WRT102']],NONE,NONE,"See Requirements for the Major in Biomedical Engineering, Upper-Division Writing Requirement.",1,1,1,1
BME301,Bioelectricity,Undergraduate,3.0,"[['BME120'], ['BME271', 'ESE271'], ['BIO202']]",NONE,[['BME212']],"In this course, we will study how electrical signals are generated and propagated in biological tissue. From the basics of Ohm's Law, as well as the laws that govern diffusion and electric field theory, we will develop mathematical models of bioelectric processes as well as perform simulations of these processes using Matlab. Understanding these signals at the cell and membrane level will provide a foundation for understanding proper nerve, cardiac and muscle function, as well as disease conditions. Using this understanding, we will examine state-of-the-art applications in current literature.",1,1,1,1
BME303,Biomechanics,Undergraduate,3.0,"[['BME260', 'MEC260']]",NONE,[['BIO202']],"Illuminates the principles of mechanics and dynamics that apply to living organisms, from cells to humans to Sequoia trees. The behavior of organisms is examined to observe how they are constrained by the physical properties of biological materials.  Locomotion strategies (or the lack thereof) are investigated for the forces and range of motions required and energy expenditures. Includes the relationship between form and function to illustrate how form dominates behavior. Presents the physiological  effects of mechanical stresses on organs, pathologies that develop from abnormal stress, and how biological growth and adaptation arise as a natural response to the mechanics of living.",1,1,1,1
BME304,Genetic Engineering,Undergraduate,3.0,"[['BME100'], ['BIO202']]",NONE,NONE,"An introduction to the realm of molecular bioengineering with a focus on genetic engineering. Includes the structure and function of DNA, the flow of genetic information in a cell, genetic mechanisms, the methodology involved in recombinant DNA technology and its application in society in terms of cloning and genetic modification of plants and animals (transgenics), biotechnology (pharmaceutics, genomics), bioprocessing (production and process engineering focusing on the production of genetically engineered products.), and gene therapy. Production factors such as time, rate, cost, efficiency, safety, and desired product quality are also covered.  Considers societal issues involving ethical and moral considerations, consequences of regulation, as well as risks and benefits of genetic engineering.",1,1,1,1
BME305,Biofluids,Undergraduate,3.0,"[['AMS261', 'MAT203', 'MAT205'], ['AMS361', 'MAT303', 'MAT305'], ['BME260', 'MEC260'], ['MEC262']]",NONE,"[['BIO202'], ['BME212']]","The fundamentals of heat transfer, mass transfer, and fluid mechanics in the context of physiological systems. Techniques for formulating and solving biofluid and mass transfer problems with emphasis on the special features and the different scales encountered in physiological systems, from the organ and the tissue level down to the molecular transport level.",1,1,1,1
BME310,Introduction to Biomedical Optics and Ultrasound,Undergraduate,3.0,[['BME271']],NONE,NONE,"The course will introduce fundamental concepts of tissue optics and ultrasound, light/ultrasound tissue interaction, and optical/ultrasound instrumentation, as well as current preclinical and clinical applications of light and ultrasound for diagnosis and therapy in biomedicine.",1,1,1,1
BME311,Fundamentals of Macro to Molecular Bioimaging,Undergraduate,3.0,[['BME212']],NONE,NONE,"This course will cover the fundamentals of modern imaging technologies, including techniques and applications within medicine and biomedical research.  The course will also introduce concepts in molecular imaging with the emphasis on the relations between imaging technologies and the design of target specific probes as well as unique challenges in the design of probes of each modality:  specificity, delivery, and amplification strategies.  The course includes visits to clinical sites.",1,1,1,1
BME312,LabVIEW Programming in Engineering,Undergraduate,3.0,NONE,NONE,NONE,"LabVIEW is the leading software development platform that enables engineers and scientists to create and deploy powerful measurement and control applications and prototypes with minimal time. This course will systematically teach LabVIEW programming with the focus on the data flow model. The highlighted course topics are basic programming logics, graphic user interface design and parallel programming. It will also teach hardware integration using LabVIEW built-in functions for data acquisition, instrument control, measurement analysis and data presentation. Hands-on projects and demonstrations will be implemented throughout the course to enhance the knowledge learned in classroom. At the end of the course, students will be offered the free exam for Certified LabVIEW Associated Developer provided by National Instruments for future career development.",1,1,1,1
BME313,Bioinstrumentation,Undergraduate,3.0,"[['BME271', 'ESE271']]",NONE,NONE,"The course content is directed to the basic concept of biomedical instrumentation and medical device. Main focus is on the application of the latest computer technology in bioinstrumentation. The course covers the topics such as basic sensors in biomedical engineering, biological signal measurement and conditioning, data acquisition and data analysis. In addition, the course will teach in detail the LabVIEW programming, a graphics tool for virtual instrumentation. The students will learn the techniques of collecting biological signals using basic sensors, and acquisition and analysis of biological signals using software and data acquisition hardware. The students will gain the hands-on experience in design of medical devices. This course will help students to develop skills to build instrumentation for laboratory research and prototyping medical devices.",1,1,1,1
BME353,Introduction to Biomaterials,Undergraduate,3.0,"[['BME100'], ['BME212']]",NONE,NONE,"This course provides an introduction to materials, including metals, ceramics, polymers, composites, coatings, and adhesives that are used in the human body. It emphasizes the physiochemical properties of materials that are considered important to meet the criteria specified for the implant and device applications (e.g. strength, modulus, fatigue and corrosion resistance, conductivity), and to be compatible with the biological environment (e.g. nontoxic, noncarcinogenic, etc.). Not for credit in addition to CME 371/ESM 453 or BME 504.",1,1,1,1
BME354,Advanced Biomaterials,Undergraduate,3.0,"[['BME353', 'ESM453']]",NONE,NONE,"This course is an overview of the applications of biomaterials. Here the emphasis is on the unique challenges in the design, fabrication, and evaluation of biomaterials for a particular application/field. Since biomaterials applications entail their direct or indirect contact with humans, the various practical aspects associated with biomaterials such as sterilization, packaging, evaluating device failures as well as regulatory guidelines will be covered.",1,1,1,1
BME361,Data Science with Python,Undergraduate,3.0,"[['BME120'], ['MAT125', 'AMS151', 'MAT131']]",NONE,NONE,"This course will introduce the basics of Python programming and how to address real-world data analysis challenges by programming. It provides an overview of standard library and coding techniques with functions, loops, classes and objectives, strings, lists, tuples, and also introduces a few advanced packages to process biomedical data and images. Students will learn this object-oriented programming language to address practical problems in the class. Both lectures and laboratories are provided for this course.",1,1,1,1
BME371,Biological Microfluidics,Undergraduate,3.0,[['BME305']],NONE,NONE,"This one semester course will outline theory and applications of special fluid handling conditions associated with living systems.  Microfluids will be examined with respect to aquaporin channels (single file molecular water movement), intercellular fluid transport mechanisms, microvascular convective fluid movement (2 phase flow), and transvascular fluid movement (3 pore theory) with reference to the similarity of each to flow in fabricated microchannels.",1,1,1,1
BME381,Nanofabrication in Biomedical Applications,Undergraduate,3.0,"[['CHE132'], ['BME100']]",NONE,[['BIO202']],"Theory and applications of nanofabrication.  Reviews aspects of nanomachines in nature with special attention to the role of self-lubrication, intracellular or interstitial viscosity, and protein-guided adhesion.  Discusses current nanofabricated machines to perform the same tasks and considers the problems of lubrication, compliance, and adhesion.   Self-assembly mechanisms of nanofabrication with emphasis on cutting-edge discovery to overcome current challenges associated with nanofabricated machines.",1,1,1,1
BME402,Contemporary Biotechnology,Undergraduate,3.0,[['BME304']],NONE,NONE,"This course will provide an introduction into the realm of modern biotechnology and its applications.  This course introduces the historical development of biotechnology and its contemporary applications, including, bioproducts and biofuels, microbial fermentation/bioprocessing, aerobic bioreactors, modeling and simulation, metabolism and enzyme kinetics, metabolic engineering, bioremediation and environmental sustainability and human medicine.  Further, societal issues involving ethical and moral implications, perceptions and fears, intellectual property, safety, risks and regulatory issues, as well as economics of biotechnology will be discussed.",1,1,1,1
