CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
CHE115,"Chemistry, Life, and Environment",Undergraduate,3.0,NONE,NONE,NONE,"This survey course introduces chemical principles by emphasizing the role chemistry plays in everyday life, the natural environment, the built environment, energy production, and in processes leading to environmental degradation.  In addition, the role of chemistry in the development of alternative energy sources, remediation technologies, and eco-friendly products is discussed.  This course for non-science majors introduces chemical principles using mostly qualitative approaches rather than quantitative approaches.  Interactive tools and interactive visualization tools are extensively used to illustrate concepts, reactions, and processes. May not be taken by students with credit for CHE 129, CHE 131, or CHE 152. This course is offered as both CHE 115 and ENV 115.",1,1
CHE129,General Chemistry IA,Undergraduate,4.0,"[['MAT123'], ['CHE130']]",NONE,NONE,"This is the initial course of the four-semester General-Chemistry/Organic-Chemistry sequence CHE 129/132/321/322. This sequence provides the necessary foundation for students who wish to pursue further coursework in chemistry. The General Chemistry Courses provide a broad introduction to the fundamental principles of chemistry, including substantial illustrative material drawn from the chemistry of inorganic, organic, and biochemical systems. The emphasis is on basic concepts, problem-solving, and factual material. Students will be placed into CHE 129 based on their performance in the Online Chemistry Placement and Preparation (OCPP) process. Specifically, CHE 129 is for students with chemistry knowledge above the required OCPP minimum but who do not meet the math corequisite of CHE 131. The level and content of CHE 129 match that of CHE 131, but since the corequisite differs, students must also attend a CHE 130 session each week. CHE 130 builds essential skills in information processing, critical and analytical thinking, quantitative reasoning, and problem solving. The CHE 129 four-semester sequence is inappropriate for students who satisfy the corequisites of CHE 131. It is also inappropriate for students who have completed an AP course in chemistry and received a score of 4 or 5; such students must enroll in CHE 152. Three lecture hours, one 80-minute workshop, and one CHE 130 session per week. CHE 129 may not be taken for credit in addition to CHE 131 or CHE 152. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
CHE130,Problem Solving in General Chemistry,Undergraduate,1.0,NONE,NONE,NONE,This course provides a structured environment for completing CHE 129 homework assignments and helping students develop the quantitative reasoning and problem solving skills needed in General Chemistry. Satisfactory/Unsatifactory grading only. Grading is based on attendance and participation. Required for students taking CHE 129 along with MAT 123.,1,1
CHE131,General Chemistry IB,Undergraduate,4.0,NONE,NONE,[['MAT125']],"This is the initial course in the four-semester General-Chemistry/Organic-Chemistry sequence CHE 131/132/321/322. This sequence provides the necessary foundation for students who wish to pursue further coursework in Chemistry. The General Chemistry courses provide a broad introduction to the fundamental principles of chemistry, including substantial illustrative material drawn from the chemistry of inorganic, organic, and biochemical systems. The emphasis is on basic concepts, problem-solving, and factual material. The principal topics covered are stoichiometry, the states of matter, chemical equilibrium and introductory thermodynamics, electrochemistry, chemical kinetics, electron structure and chemical bonding, and chemical periodicity. Students will be placed into CHE 131 based on their performance in an Online Chemistry Placement and Preparation (OCPP) process. The four-semester sequence is inappropriate for students who have completed an AP course in chemistry and received a score of 4 or 5; these students are placed into CHE 152. Three lecture hours and one 80-minute workshop per week. May not be taken for credit in addition to CHE 129 or CHE 152. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
CHE132,General Chemistry II,Undergraduate,4.0,"[['CHE129', 'CHE131']]",NONE,"[['MAT125', 'CHE129'], ['MAT126']]","A continuation of either CHE 129 or 131, introducing the fundamental principles of chemistry, including substantial illustrative material drawn from the chemistry of inorganic, organic, and biochemical systems. The principal topics covered are stoichiometry, the states of matter, chemical equilibrium and introductory thermodynamics, electrochemistry, chemical kinetics, electron structure and chemical bonding, and chemical periodicity. The sequence emphasizes basic concepts, problem solving, and factual material. It provides the necessary foundation for students who wish to pursue further coursework in chemistry.  Three lecture hours and one 80-minute workshop per week. May not be taken for credit in addition to CHE 152. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
CHE133,General Chemistry Laboratory I,Undergraduate,1.0,NONE,NONE,[['CHE129']],"Designed to familiarize students with (1) some chemical and physical properties of substances, (2) techniques of quantitative chemistry, and (3) scientific methodology. Three hours of laboratory or related activity per week. CHE 133 and CHE 134 may not be taken for credit in addition to CHE 154. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
CHE134,General Chemistry Laboratory II,Undergraduate,1.0,[['CHE133']],NONE,[['CHE132']],"Designed to familiarize students with (1) some chemical and physical properties of substances, (2) techniques of quantitative chemistry, and (3) scientific methodology. Three hours of laboratory or related activity per week. CHE 133 and CHE 134 may not be taken for credit in addition to CHE 154. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
CHE152,Molecular Science I,Undergraduate,4.0,"[['MAT131', 'MAT125', 'AMS151']]",NONE,NONE,"This is the initial course of the three-semester Molecular Science sequence CHE 152/331/332. The topics covered in CHE 152 include atomic and molecular structure, chemical bonding, thermodynamics, equilibrium and aqueous chemistry, electrochemistry, kinetics and basics of organic chemistry. Students will be placed into CHE 152 based on their performance in the Online Chemistry Placement and Preparation (OCPP) process or upon receipt of a score of 4 or 5 in AP chemistry. (Such students cannot enroll in any of the courses CHE 129/130, 131, or 132). May not be taken for credit in addition to CHE 129, 131, or 132. Three lecture hours and one 80-minute workshop per week.",1,1
CHE154,Molecular Science Laboratory I,Undergraduate,2.0,NONE,NONE,[['CHE152']],"Designed to familiarize students with chemical and physical properties of substances, techniques of quantitative chemistry, and aspects of scientific methodology. Four hours of lab per week. CHE 154 may not be taken for credit in addition to CHE 134. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
CHE301,Physical Chemistry I,Undergraduate,4.0,"[['CHE132'], ['MAT132', 'AMS161', 'MAT203', 'MAT211', 'AMS210', 'AMS261'], ['PHY121']]",NONE,NONE,"This course is the first half of a two-semester overview of modern physical chemistry, introducing students to the quantitative study of chemical systems.  The fundamentals of thermodynamics from both macroscopic and microscopic standpoints are covered, with applications to chemical problems. May not be taken for credit by students who have completed CHE 312.",1,1
CHE302,Physical Chemistry II,Undergraduate,4.0,"[['CHE301'], ['MAT203', 'MAT211', 'AMS210', 'AMS261']]",NONE,"[['PHY122', 'PHY126']]","Introduction to quantum theory and its application to the study of chemical bonding, molecular spectroscopy, statistical thermodynamics, chemical kinetics and molecular reaction dynamics.",1,1
CHE303,Solution Chemistry Laboratory,Undergraduate,2.0,"[['CHE134', 'CHE154']]",NONE,[['CHE301']],"Quantitative techniques of solution chemistry. Measurement: accuracy and precision, analysis, computation, and reporting. Spectrophotometry. Solution equilibria and kinetics. Use of computers is introduced. Six hours of laboratory and discussion. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
CHE304,Chemical Instrumentation Laboratory,Undergraduate,2.0,[['CHE303']],NONE,[['CHE302']],Electrochemical and thermochemical measurements. Electronics in chemical instrumentation. Vacuum techniques. Electrical and magnetic properties of materials. Data-handling methods. Six hours of laboratory and discussion. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.,1,1
CHE310,Chemistry in Technology and the Environment,Undergraduate,3.0,"[['CHE132', 'CHE152']]",NONE,NONE,Use of chemical principles in understanding processes that occur in the modern technological world and in the natural environment. Certain ecological problems of a chemical nature are analyzed. Methods of controlling these problems are discussed. Not for credit in addition to ENV 320.,1,1
