CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
CSE101,Computer Science Principles,Undergraduate,3.0,NONE,"[['CSE114', 'CSE160']]",NONE,"Introduces central ideas of computing and computer science, instills practices of algorithmic and computational thinking, and engages students in the creative aspects of the field. Also introduces appropriate computing technology as a means for solving computational problems and exploring creative endeavors. Includes weekly computer programming assignments, but assumes no previous programming experience. May not be taken by students with credit for CSE 114 or CSE 160.",1.0,1.0
CSE102,Introduction to Web Design and Programming,Undergraduate,3.0,[['CSE101']],NONE,NONE,"An introduction to the design of Web pages, specifically the development of browser and device independent HTML, with an emphasis on the XHTML standards. Includes the use of style sheets (CSS) and tools for page layout and verification.  HTML is presented as a mark-up language, exploring the rules of HTML elements and attributes. Students learn the separation of page viewing information from the HTML through CSS style sheets as well as the use of block layout without using HTML tables. Addresses HTML display properties including text, color, image, and graphic elements as well as approaches to HTML validation and techniques.",0.0,0.0
CSE110,Introduction to Computer Science,Undergraduate,3.0,NONE,NONE,NONE,"An introduction to fundamentals of computer science. Topics covered include algorithmic design, problem-solving techniques for computer programming, fundamentals of digital logic and computer organization, the role of the operating system, introductory programming methodology including variables, assignment statements, control statements and subroutines (methods), programming paradigms, the compilation process, theoretical limits of computation, social and ethical issues.  Intended for students who have not taken any college-level computer science course containing programming assignments in a high-level programming language.",1.0,1.0
CSE113,Foundations of Computer Science I,Undergraduate,4.0,"[['AMS151', 'MAT125', 'MAT131']]",NONE,NONE,"Introduction to the mathematical foundations of computer science. Topics include logic (propositional and predicate); proof techniques (induction/recursion, contradiction, and others); and key concepts of mathematical structures (sequences, sets, functions, relations, and graphs). Not for credit in addition to CSE 215.",0.0,1.0
CSE114,Introduction to Object-Oriented Programming,Undergraduate,4.0,"[['CSE101', 'ISE108']]",NONE,NONE,"An introduction to procedural and object-oriented  programming methodology. Topics include program structure, conditional and iterative programming, procedures, arrays and records, object classes, encapsulation, information hiding, inheritance, polymorphism, file I/O, and exceptions. Includes required laboratory. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1.0,0.0
CSE130,Introduction to Programming in C,Undergraduate,3.0,NONE,NONE,NONE,"Introduces programming concepts using the C language.  Variables, data types, and expressions.  Conditional and iterative statements, functions, and structures.  Pointers, arrays, and strings.  Scope of variables and program organization.  Includes programming projects of an interdisciplinary nature.  Suitable as an introductory programming course for non-CSE majors.",1.0,0.0
CSE150,Foundations of Computer Science: Honors,Undergraduate,4.0,NONE,NONE,NONE,"Introduction to the logical and mathematical foundations of computer science for computer science honors students. Topics include functions, relations, and sets; recursion and functional programming; basic logic; and mathematical induction and other proof techniques.",1.0,1.0
CSE160,Computer Science A: Honors,Undergraduate,3.0,NONE,NONE,[['CSE161']],"First part of a two-semester sequence, CSE 160 and CSE 260.  An introduction to procedural and object-oriented programming methodology and basic data structures. Topics include program structure, conditional and iterative programming, procedures, arrays, object classes, encapsulation, information hiding, inheritance, polymorphism, file I/O, exceptions and simple data structures, such as lists, queues and stacks.",1.0,1.0
CSE161,Laboratory for Computer Science A: Honors,Undergraduate,1.0,NONE,NONE,[['CSE160']],"Must be taken concurrently with lecture component, CSE 160; a common grade for both courses will be assigned. Laboratory sessions will focus on development of pragmatic programming skills and use of programming environments and tools in a supervised setting.",1.0,1.0
CSE190,Special Topics in Practice and Applications of Computer Science,Undergraduate,3.0,NONE,NONE,NONE,A lecture course on a current topic in the practice and application of computer science. May be repeated as the topic changes.,1.0,1.0
