CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
ESG100,Introduction to Engineering Science,Undergraduate,3.0,NONE,NONE,NONE,"An overview of the development and application of engineering principles in response to social, industrial, and environmental problems. Engineering methods and theory through case studies and real-world applications. Introduction to modern engineering design and problem solving through discussion of design theory and tools with an emphasis on design for manufacturing and reliability, engineering ethics including value sensitive design, and participation in a design project.",1,1
ESG111,Programming for Engineers,Undergraduate,3.0,NONE,NONE,NONE,Introduces computer programming techniques for engineering students who have not completed any programming courses prior. Students learn the basics of programming in general and programming MATLAB in particular. This is designed for students to become comfortable enough to continue learning MATLAB and other programming languages on their own.,1,1
ESG198,Fundamentals of Engineering Chemistry,Undergraduate,3.0,NONE,NONE,NONE,"ESG 198 is a course designed for engineering majors which will incorporate the major concepts and principles of CHE 130 and CHE 131.  Applications of these principles will be emphasized. The major areas which will be covered are: Matter and energy relationships; structure of matter; chemical bonding; gases, liquids and solids; solutions; acids and bases; oxidation-reduction; electrochemistry; thermodynamics; kinetics and equilibrium. May not be taken for credit in addition to CHE 131, or 152.",1,1
ESG199,Introduction to Undergraduate Research,Undergraduate,0.00 - 3.00,NONE,NONE,NONE,An introduction to independent research and basic research skills. Students perform an independent research project in engineering science under the supervision of a faculty member. May be repeated.,1,1
ESG201,Learning from Engineering Disaster,Undergraduate,3.0,NONE,NONE,NONE,"The role of the engineer is to respond to a need by building or creating something along a certain set of guidelines (or specifications) which performs a given function.  Just as importantly, that device, plan or creation should perform its function without fail. Everything, however, does eventually fail and, in some cases, fails with catastrophic results.  Through discussion and analysis of engineering disasters from nuclear meltdowns to stock market crashes to climate-driven catastrophes, this course will focus on how modern engineers learn from their mistakes in order to create designs that decrease the chance and severity of failure. The impact of engineers' values and ethics, as well as the crucial role of diversity and inclusiveness on successful engineering design, will be discussed in detail.",1,1
ESG281,Engineering Introduction to the Solid State,Undergraduate,3.0,[['PHY132']],NONE,NONE,"A discussion of relativity followed by review of the atom and its constituents. Lectures treat the quantization of light and of atomic energy levels, matter waves, and introduce the Schrodinger equation, first in one dimension, then in three dimensions. Electron spin and magnetic effects are discussed, followed by multielectron atoms and the periodic table. Radiation and lasers, molecules and solids, including conductors, semiconductors, and insulators.",1,1
ESG300,Writing in Engineering Science,Undergraduate,0.0,[['WRT102']],NONE,[['ESG312']],"See Requirements for the Major in Engineering Science, Upper-Division Writing Requirement.",1,1
ESG302,Thermodynamics of Materials,Undergraduate,3.0,"[['ESG198', 'CHE131', 'CHE152'], ['AMS261']]",NONE,"[['AMS361'], ['CHE132', 'CHE154']]","The basic laws and concepts of thermodynamics are elucidated, and the important thermodynamic relationships are systematically developed with reference to the behavior of materials. The thermodynamics of solids is discussed, including the thermodynamics of solutions and the calculation of reaction-free energies and equilibria in condensed phase reactions such as phase transformations, oxidation, and diffusion.",1,1
ESG312,Engineering Laboratory,Undergraduate,4.0,"[['PHY126'], ['PHY132']]",NONE,[['ESG300']],"Laboratory exercises and lectures covering the theory, practice, and design of engineering experimentation. The course has three components: error analysis and data message; electrical circuits and experiment control; and mechanical and optical measurement. Laboratory fee required.",1,1
ESG316,Engineering Science Design Methods,Undergraduate,4.0,"[['ESG100'], ['AMS161', 'MAT127', 'MAT132', 'MAT142', 'MAT171']]",NONE,NONE,"Design and design-planning methods are developed from the conceptual stages through the application stages using lecture and laboratory. Includes synthesis, optimization, modeling, and simulation and systems engineering. Case studies illustrate the design process. Students undertake a number of laboratory projects employing various design tools. Laboratory fee required.",1,1
