CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
ISE102,Introduction to Web Design and Programming,Undergraduate,3.0,[['CSE101']],NONE,NONE,"An introduction to the design of Web pages, specifically the development of browser and device independent HTML, with an emphasis on the XHTML standards. Includes the use of style sheets (CSS) and tools for page layout and verification.  HTML is presented as a mark-up language, exploring the rules of HTML elements and attributes. Students learn the separation of page viewing information from the HTML through CSS style sheets as well as the use of block layout without using HTML tables. Addresses HTML display properties including text, color, image, and graphic elements as well as approaches to HTML validation and techniques.",1,1
ISE108,Introduction to Programming,Undergraduate,3.0,NONE,NONE,NONE,"Introduces computer programming at a level suitable for those with no prior programming experiences, including liberal arts and humanities majors.  Programming exercises involve state-of-the-art visual applications.  Topics include problem-solving techniques, object-oriented design, and programming concepts such as conditionals, iteration, arrays, and modularity.",1,1
ISE208,Intermediate Programming,Undergraduate,3.0,[['ISE108']],NONE,NONE,"Teaches programming and system design techniques with an emphasis on applications to business.  Topics include object-oriented design techniques, testing and debugging, data structures, recursion, and exception-handling.  Uses the Java programming language.",1,1
ISE218,Fundamentals of Information Technology,Undergraduate,3.0,[['MAT123']],NONE,NONE,"This course introduces the fundamentals of Information Technology (IT) to students interested in the relationship between computer hardware, software, networks, and information systems. The course examines components found in high use computing devices such as desktop computers, smart phones, and navigation systems. The focus of the examination is understanding the underlying technology of each component, along with price/performance curves and competing technologies. Upon completion of the course, students should be proficient in reading device specifications, particularly functional and performance implications. Students should also be able to use that knowledge to compare competing devices.",1,1
ISE300,Technical Communications,Undergraduate,3.0,[['WRT102']],NONE,NONE,"Principles of professional technical communications for Computer Science and Information Systems majors. Topics include writing business communications, user manuals, press releases, literature reviews, and research abstracts. Persuasive oral communications and effective presentation techniques, to address a range of audiences, will also be covered. This course satisfies the upper-division writing requirement for CSE and ISE majors.",1,1
ISE301,History of Computing,Undergraduate,3.0,NONE,NONE,NONE,"A study of the history of computational devices from the early ages through the end of the 20th century. Topics include needs for computation in ancient times, development of computational models and devices through the 1800's and early 1900's, World War II and the development of the first modern computer, and early uses in business. Creation of programming languages and the microchip. Societal changes in computer usage due to the microcomputer, emergence of the Internet, the World Wide Web, and mobile computing. Legal and social impacts of modern computing. Cannot be used as a technical elective for the CSE major or minor.  This course is offered as both CSE 301 and ISE 301.",1,1
ISE305,Database Design and Practice,Undergraduate,3.0,"[['ISE208', 'CSE114', 'CSE230']]",NONE,NONE,"The design of database applications including Entity-Relationship data modeling, the relational data model, the SQL database query language, application development, and database administration.  Students will complete a project that includes designing a database application and implementing it using database development tools.",1,1
ISE311,Systems Administration,Undergraduate,3.0,"[['CSE214', 'CSE230', 'CSE260', 'ISE208']]",NONE,NONE,"This course covers practical techniques to manage information systems, also known as IT Systems Administration.  Students will learn how to install computers for assorted hardware and software platforms (Windows, Unix/Linux, OS-X).  Install networking equipment and configure it.  Install server software on several systems (e.g. web, database, mail) and configure it.  Secure the network, hosts, and services, and apply system patches.  Set up redundant computing services, virtual machines/services, and hardware so that services can survive some hardware/software failures.  Evaluate the performance, reliability, and security of the overall system. This course is offered as both CSE 311 and ISE 311.",1,1
ISE312,"Social, Legal, and Ethical Issues in Computing",Undergraduate,3.0,NONE,NONE,NONE,"This course deals with the impact of computers on us as individuals and on our society.  Rapid changes in computing technology and in our use of that technology have changed the ways we work, play, and interact with other people.  These changes have created a flood of new social, legal and ethical issues that demand critical examination. This course is offered as both CSE 312 and ISE 312.",1,1
ISE316,Introduction to Networking,Undergraduate,3.0,"[['CSE114', 'ISE208'], ['MAT123']]",[['CSE310']],NONE,"This course introduces the principles of computer networks, including network architectures, algorithms, and performance, with the TCP/IP based Internet as an example. It examines various networking protocols at different layers of the Internet protocol stack, including those at the application, transport, network, and the data link layers, respectively.",1,1
ISE317,Computer Networking II,Undergraduate,3.0,"[['ISE316', 'CSE310']]",NONE,NONE,"Today's computer networks have become an infrastructure as essential as utility networks such as the transportation network and the national grid of electricity. A wide variety of networking technologies are deployed to support nearly every sector of the society. Among these technologies, those that are related to wireless and mobile networking, multimedia networking, as well as network security are among the most popular and important.
After learning fundamental concepts and protocols in computer networks from the first networks course, this second computer networks course examines more practical and advanced topics in computer networking. In addition to those mentioned above, we will also study advanced routing algorithms in computer networks and network management. Both are critical tasks for corporations such as network service providers and for individual professionals such as network administrators.",1,1
ISE320,Information Management,Undergraduate,3.0,NONE,NONE,NONE,"The course presents the relationship between information technology and the systems that use the technology.   The emphasis is on business systems with a high information technology components (e.g. software developments, communications, financial management, etc.).  Topics include infrastructure management, information management, security, and communications.  Emphasis is given to case studies relating to information management.",1,1
ISE321,Introduction to Network Administration,Undergraduate,3.0,"[['ISE316', 'CSE310']]",NONE,NONE,"The course introduces students to the fundamentals of network management, primarily for TCP/IP networks. Students are introduced to networking protocols, hardware, architecture, media, and software and experience hands-on management of typical network components. Various network protocols are examined, including Internet routing protocols. Network security is introduced in the overall context of network management.",1,1
ISE323,Human-Computer Interaction,Undergraduate,3.0,"[['CSE214', 'CSE230', 'CSE260', 'ISE208']]",NONE,NONE,"A survey course designed to introduce students to Human-Computer Interaction and prepare them for further study in the specialized topics of their choice.  Students will have the opportunity to delve deeper in the course through a course project, and through a two-three week special topic selected at the instructor's discretion. Course is cross-listed as CSE 323, EST 323 and ISE 323.",1,1
