CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
MEC100,Introduction to Mechanical Engineering,Undergraduate,3.0,NONE,NONE,NONE,"Introduction to the engineering experience in general and mechanical engineering in particular through lectures by faculty and invited speakers from industry, field trips, films and laboratory demonstrations. Lectures cover creative thinking and problem-solving, design team work, computer utilization, engineering ethics and legal issues, use of libraries and other sources of information, career opportunities in mechanical engineering and related fields, emerging technologies and the cross-disciplinary nature of engineering.",1,1
MEC101,Freshman Design Innovation,Undergraduate,3.0,NONE,NONE,NONE,"This course presents an overview of the mechanical engineering profession, engineering ethics, basics of computation via correct usage of dimensions, units, and significant digits, and engineering documentation. Furthermore, this course introduces the students to the process of engineering design and provides a project-based design experience wherein the students design, build, and program a microcontroller driven autonomous mechatronic device. In doing so, they are provided an early exposure to the systematic approach to engineering problem solving that brings together fundamental concepts of forces, motions, energy, materials, manufacturing processes, and machines and mechanisms from mechanical engineering and basic electronics, sensing, actuation, and computer programming. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
MEC102,Engineering Computing and Problem Solving,Undergraduate,2.0,NONE,NONE,NONE,"Introduction to programming with MATLAB. Control structures, arrays and matrix operations, functions, object-oriented programming, interfacing MATLAB with other languages. Projects include applications in solid mechanics, fluid mechanics, thermodynamics and heat transfer, control theory, and basic design concepts. Emphasizes the interpretation of previous analysis in terms of generating results, making quantitative comparisons, and assessing changes that optimize or otherwise maximize the usefulness of the result.",1,1
MEC104,Practical Science of Things,Undergraduate,3.0,NONE,NONE,NONE,"A practical introduction to the science and engineering of objects and phenomena in everyday life. The basic principles that underlie the operation common to modern devices such as rollercoasters, balloons, vacuum cleaners, airplanes, bicycles, thermostats, air conditioners and automobiles are developed by investigating how they work. The scientific method, engineering design methodology, safety, and environmental impacts are discussed in the context of these practical applications.",1,1
MEC105,Everyday Science and Engineering,Undergraduate,3.0,NONE,NONE,NONE,"A practical introduction to the science and engineering of objects and phenomena in everyday life. The basic principles that underlie the operation common to modern devices such as xerographic copiers, tape recorders, computers, microwaves, lasers, CDs, plastics, nuclear weapons, and magnetic resonance imaging (MRI) are developed by investigating how they work. The scientific method, engineering design methodology, safety, and environmental impacts are discussed in the context of these practical applications.",1,1
MEC203,Engineering Graphics and CAD,Undergraduate,3.0,NONE,NONE,NONE,"Introduces engineering graphics and its role in design process. Includes the principles of engineering drawing and sketching for mechanical design, the use of computer graphics and solid modeling in design representation of 3D objects, assembly and simulation as well as ASME standards on geometric dimensioning and tolerances. Includes hands-on experience in the use of CAD software packages for engineering design. Engineering ethics.",1,1
MEC220,Practical Electronics for Mechanical Engineers,Undergraduate,3.0,NONE,NONE,NONE,"An overview of basic electronics at the practical level. The course provides mechanical engineering students with the fundamentals to perform basic electronics work needed in laboratories, subsequent courses and their professional careers. Topics include both passive and active components, AC and DC circuits, and a focus on operational amplifier and transistor driven circuits needed for instrumentation and control. Hands-on work in each area complements theoretical analysis, and ensures that students can implement these circuits and devices practically; students will analyze and build circuits both from circuit diagrams, as well as from product datasheets.",1,1
MEC225,Fundamentals of Machining Practices,Undergraduate,1.0,NONE,NONE,NONE,"Hands-on experience in the fundamentals of machining including metrology tools and devices, saw, sheet metal working, drilling, reaming, taping, turning, boring, milling, and welding. Not for credit in addition to MEC 226. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
MEC226,Modern Machining Practices,Undergraduate,1.0,NONE,NONE,NONE,"Hands-on experience in automated machining including additive and subtractive processes, such as fused deposition modeling (FDM) rapid prototyping, and computer numerical control (CNC) multi-axis machining. Not for credit in addition to MEC 225. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
MEC260,Engineering Statics,Undergraduate,3.0,[['PHY131']],NONE,"[['AMS261', 'MAT203']]","A review of vector algebra. Concept of force. Equilibrium of particles. Moments about points and lines, couples and equivalent force systems. Equilibrium of rigid bodies. Analysis of simple structures such as trusses, frames, and beams. Centroids, centers of gravity, and moments of inertia. Dry friction with applications to wedges, screws, and belts. Method of virtual work, potential energy, and stability.",1,1
MEC262,Engineering Dynamics,Undergraduate,3.0,[['MEC260']],NONE,NONE,"Vectorial kinematics of particles in space, orthogonal coordinate systems. Relative and constrained motions of particles. Dynamics of particles and the systems of particles, equations of motion, energy and momentum methods. Collisions. Two- and three-dimensional kinematics and dynamics of rigid bodies. Moving frames and relative motion. Free, forced, and damped vibrations of particles and rigid bodies.",1,1
MEC280,Pollution and Human Health,Undergraduate,3.0,NONE,NONE,NONE,"An examination of major environmental pollution problems such electromagnetic radiation, ozone layer depletion, and global warming, with a specific focus on the resulting effects on human health. Assessment of health risks in relation to the formulation of environmental and workplace regulations is also considered.",1,1
MEC300,Professional Conduct for Engineers,Undergraduate,2.0,[['WRT102']],NONE,NONE,"The study of ethical decisions confronting individuals and organizations in engineering and science. Related questions about moral conduct, character, ideals and relationships of people and organizations involved in technical development are discussed. Ethics codes for engineers, computer scientists, and natural scientists are covered. The interaction of engineers, their technology, the society and the environment is examined using case studies. Includes topics in law such as negotiation, reverse engineering, ownership and enforcement of intellectual property, and export controls. Introduction to patents and patent infringement using case studies.",1,1
