CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
PHY112,"Light, Color, and Vision",Undergraduate,3.0,NONE,NONE,NONE,"An introduction to the modern understanding of light, color, and vision, primarily for non-science majors and especially beneficial to students  majoring in visual arts or theatre.  Topics include the nature of light; the human eye and vision; illusions, color perception, and color theory; optical instruments; the camera and photography; optical phenomena in the atmosphere (mirages, rainbows, halos); and light in modern physics (relativity, lasers). Not for major credit. Not for credit in addition to PHY 122, PHY 126, PHY 132 or PHY 142. Students majoring or planning to major in PHY, AST, CHE, MAT, AMS or engineering may not take this course.",1,1
PHY113,Physics of Sports,Undergraduate,3.0,NONE,NONE,NONE,"First part of an introduction to physics from the perspective of sports, especially designed for non-science majors. Basic concepts in classical mechanics and fluid dynamics are used to analyze particular actions in football, baseball, soccer, track and field, and other sports. Students learn, for example, about the knuckle ball in baseball and why it is so hard to hit, and why quarterbacks throw a football in a spiral. The concepts of heat, energy, and calories are also discussed. The laboratory component, PHY 115, may be taken concurrently with or after PHY 113. Not for credit in addition to PHY 121, PHY 125, PHY 131 or PHY 141. Students majoring or planning to major in PHY, AST, CHE, MAT, AMS or engineering may not take this course.",1,1
PHY115,Physics of Sports Laboratory,Undergraduate,1.0,NONE,NONE,[['PHY113']],"Laboratory component of PHY 113. Experiments are designed to help students better understand the physics aspects of sports. Students work in groups and conduct experiments indoors and outdoors. Knowledge of first-year college-level mathematics is recommended, but most necessary information is taught in class as needed. May be taken concurrently with or after PHY 113. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY119,Physics for Environmental Studies,Undergraduate,4.0,"[['MAT123'], ['CHE131']]",NONE,NONE,"The principles of physics as they apply to environmental issues. A review of mathematics is followed by a discussion of Newton's laws, conservation principles, topics in fluids and wave motion, optical instruments, and radioactivity. Three lectures and one laboratory session per week. This course is offered as both ENS 119 and PHY 119. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY121,Physics for the Life Sciences I,Undergraduate,4.0,"[['MAT125', 'MAT131', 'MAT141', 'AMS151']]",NONE,NONE,"First part of an introduction to physics with applications to biology, primarily for students majoring in biological sciences or pre-clinical programs. Topics include mechanics, fluid mechanics, and thermodynamics. Strong algebra skills and knowledge of the ideas of calculus are required. Three lecture hours and two laboratory hours per week. PHY 121 may not be taken for credit in addition to PHY 125, 131, or 141. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY122,Physics for the Life Sciences II,Undergraduate,4.0,[['PHY121']],NONE,"[['CHE132', 'CHE152']]","Second part of an introduction to physics with applications to biology, primarily for students majoring in biological sciences or pre-clinical programs. Topics include electromagnetism, optics, acoustics, and radiation phenomena. Strong algebra skills and knowledge of the ideas of calculus are required. Three lecture hours and two laboratory hours per week. PHY 122 may not be taken for credit in addition to PHY 127, 132, or 142. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1
PHY125,Classical Physics A,Undergraduate,3.0,[['MAT123']],NONE,"[['MAT125', 'MAT131', 'MAT141', 'AMS151']]","First of a three-part sequence intended for physical-sciences or engineering majors. It focuses on the mechanics of point particles and simple oscillators, and emphasizes motion in one and two dimensions and the concepts
of momentum and energy. Calculus is used concurrently with its development in MAT 125. Three lecture hours and one recitation hour per week. Not for credit in addition to PHY 121, PHY 131, or PHY 141. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
PHY126,Classical Physics B,Undergraduate,3.0,[['PHY125']],NONE,"[['MAT126', 'AMS161']]","Second or third of a three-part sequence for physical-sciences or engineering majors. It focuses on the mechanics of rigid bodies, on fluids, waves, thermodynamics, and optics. Three lecture hours and one recitation hour per week.  Associated Labs (PHY 133 or PHY 134) are offered separately. Not for credit in addition to PHY 132, or PHY 142. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
PHY127,Classical Physics C,Undergraduate,3.0,[['PHY125']],NONE,"[['MAT126', 'AMS161']]","Second or third of a three-part sequence for physical-sciences or engineering majors. It focuses on electromagnetism using the concepts of vector fields and scalar potentials, and on DC and AC electric circuits. Calculus is used concurrently with its development in MAT 126. Three lecture hours and one recitation hour per week. Associated Labs (PHY 133 or PHY 134) are offered separately. Not for credit in addition to PHY 122, PHY 132, or PHY 142. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
PHY131,Classical Physics I,Undergraduate,3.0,[['MAT123']],NONE,"[['MAT125', 'MAT131', 'MAT141', 'AMS151']]","First part of a two-semester physics sequence for physical-sciences or engineering majors who have a strong mathematics background and are ready for a fast learning pace. It covers mechanics, wave motion, kinetic theory, and thermodynamics. Calculus is used concurrently with its development in MAT 131. Three lecture hours and one recitation hour per week. The Laboratory component, PHY 133 (Lab 1), could be taken concurrently. Not for credit in addition to PHY 121, PHY 125, or PHY 141. Advanced Placement Physics or a very strong course in high school Physics is recommended. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1
