CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Description,spring1,fall1,spring2,fall2
PSY103,Introduction to Psychology,Undergraduate,3.0,NONE,NONE,"An introduction to research and theory in psychology in such areas as learning, perception, cognition, biopsychology, development, personality, and abnormal and social psychology. As part of the course, students must participate in experiments and/or a library research project.",1,1,1,1
PSY201,Statistical Methods in Psychology,Undergraduate,3.0,[['PSY103']],NONE,"The use and interpretation of elementary statistical techniques in research, emphasizing descriptive statistics, correlational analysis, and inferential statistics, including chi-square, t-tests, and an introduction to the Analysis of Variance. May not be taken for credit after AMS 102, ECO 320, POL 201, or SOC 202. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so.",1,1,1,1
PSY220,Survey in Developmental Psychology,Undergraduate,3.0,[['PSY103']],NONE,"A study of growth and change in humans. Psychological, physical, social, and cognitive changes will be considered and the role of environmental and genetic influences on development will be examined.",1,1,1,1
PSY230,Survey in Abnormal and Clinical Psychology,Undergraduate,3.0,[['PSY103']],NONE,"Examines the description, etiology, course, and treatment of psychological disorders. Current theory and research are emphasized.",1,1,1,1
PSY240,Survey in Social Psychology,Undergraduate,3.0,[['PSY103']],NONE,"A presentation of various topics in social psychology including interpersonal processes, obedience to authority, social perception, attitude change, attraction and liking, and aggression and violence, especially as applied to national and international issues.",1,1,1,1
PSY250,Survey in Biopsychology,Undergraduate,3.0,"[['PSY103', 'ANP101', 'BIO203']]",NONE,"Introduction to the neural basis of sensory processes, motor control, attention, emotion, and learning.",1,1,1,1
PSY260,Survey in Cognition and Perception,Undergraduate,3.0,[['PSY103']],NONE,"A survey of theoretical and empirical work on human cognition and perception including pattern recognition, memory, attention, language comprehension, decision making, and problem solving.",1,1,1,1
PSY273,Supervised Research in Psychology,Undergraduate,0.00 - 6.00,NONE,NONE,"Initial training and participation in techniques or duties related to a specific laboratory or field research experience under the direct supervision of a faculty member or advanced graduate student in the Department of Psychology. Students may take two sections in a single semester, but no more than three credits may be applied to a section. May not be taken for more than six credits per faculty advisor during the student's career.",1,1,1,1
PSY283,Applications and Community Service,Undergraduate,1.00 - 3.00,NONE,NONE,"Designed to provide opportunities for students to study and apply psychological principles outside the classroom (e.g., in settings such as hospitals and schools). Specific programs vary from semester to semester. General information is available in the Psychology Undergraduate Office. May be repeated up to a limit of six credits.",1,1,1,1
PSY301,Advanced Statistics,Undergraduate,3.0,"[['PSY201', 'PSY310']]",NONE,"Survey of probability and sampling theory, descriptive and inferential statistics, and introduction to experimental design.",1,1,1,1
PSY310,Research and Writing in Psychology,Undergraduate,4.0,"[['PSY103'], ['PSY201']]",NONE,"An introduction to and critical analysis of the methodology of psychological research. In addition to attending lectures taught by faculty, students work closely with a graduate instructor and peers in small breakout sections to prepare a research proposal. Not for credit in addition to the discontinued PSY 300. This course has been designated as a High Demand/Controlled Access (HD/CA) course. Students registering for HD/CA courses for the first time will have priority to do so. This course has an associated fee. Please see www.stonybrook.edu/coursefees for more information.",1,1,1,1
