CourseNumber,CourseTitle,Career,Credits,Prerequisites,Antirequisites,Corequisites,Description,spring,fall
WRT101,Introductory Writing Workshop,Undergraduate,3.0,NONE,NONE,NONE,"An introduction to the foundations of writing, offering students a variety of rhetorical strategies and helping them develop creative and critical thinking, fluency, and correctness. Coursework creates ample opportunities for significant practice in reading, writing, and critical analysis. Emphasis on writing as a revision-based process. WRT 101 prepares students for WRT 102 and postsecondary academic writing. Prerequisite: a grade of C or better in WAE 194 or Writing Placement score of 3.  This course may be repeated until a satisfactory grade is achieved.",1,1
WRT102,Intermediate Writing Workshop,Undergraduate,3.0,NONE,NONE,NONE,"A study of strategies for extended academic writing assignments including critical analysis, argument or point of view, and multi-source, college-level research essays. Students continue to develop rhetorical awareness, analytical proficiency, and academic research skills. At the end of the course students create a multimodal ePortfolio of final revised essays to be evaluated by their instructor and at least one outside reader. Prerequisite: WRT 101; 3 or higher on AP English Language/Composition exam or AP English Literature/Composition exam; 580 or higher on the Evidence-Based Reading and Writing SAT or 1050 or higher on the combined Critical Reading and Writing SAT (last administered Jan 2016); 23 or higher on the English Language Arts ACT or 24 or higher on the combined English and Writing ACT (last administered June 2015); Writing Placement score of 4; C or higher in an approved transfer course equivalent to WRT 101.  This course may be repeated until a satisfactory grade is achieved.",1,1
WRT200,The Rhetoric of Grammar and Style,Undergraduate,3.0,[['WRT102']],NONE,NONE,"Students will examine conventions of grammar and style to understand how they are derived and applied in common formal and informal writing situations. Students will experiment with prose style as a way to achieve rhetorical effectiveness. Students will study aspects of grammar that are most relevant to clear writing, including punctuation, nouns, verbs, adjectives, adverbs, conjunctions, phrases, clauses, gerunds, participles, infinitives, and complete sentences. Sentence imitation, sentence combining, and sentence invention techniques are used to help students become more flexible in their syntactic fluidity.",1,1
WRT201,Principles of Professional Writing,Undergraduate,3.0,[['WRT102']],NONE,NONE,"An introduction to the principles and practices of professional writing, this course is designed to teach students about foundational skills and approaches needed for a variety of professional writing situations. Students learn and apply core concepts, analytical skills, and strategies of effective workplace writing through genres common to a range of fields, such as business, industry, education, the arts, publishing, nonprofit organizations, law, international affairs, and public service and health-related professions. Through engagement with writing studies theory and research, and exposure to different types of professional writing, students will develop an understanding of relevant rhetorical, social, cultural, and ethical considerations.",1,1
WRT206,Writing about African-American Literature and History,Undergraduate,3.0,[['WRT102']],NONE,NONE,"In this lecture course, we will read American Literature written by African-Americans and study that literature in its historical context.  Readings will include works such as Frederick Douglass's Narrative, Harriet Wilson's Our Nig, William Wells Brown's Clotel,  Charles Chesnutt's ""The Sheriff's Children"", W.E.B. Dubois's The Souls of Black Folk, Ida B. Wells's  Lynch Law in all its Phases, James Weldon Johnson's Autobiography of an Ex-Colored Man, Langston Hughes's The Big Sea, Zora Neale Hurston's Their Eyes were Watching God,  Richard Wright's Uncle Tom's Children, Chester Himes's Real Cool Killers, Alice Walker's The Color Purple, Toni Morrison's Beloved,  and Walter Mosley's Always Outnumbered, Always Outgunned.  Literary readings will be supplemented by documents and essays that provide historical context.  Students will write a one-page response to their reading for every class, and principles of thoughtful writing, including correct grammar, will be reinforced.  There will be two tests and a final exam.",1,1
WRT220,Rhetoric and Culture,Undergraduate,3.0,[['WRT102']],NONE,NONE,"An introduction to the history of rhetoric that highlights its relationship to reading, writing, and speaking in modern contexts. Emphasis will be placed on defining rhetoric - its traditions, forms, and enduring realms of influence. Specific content depends on instructor preference, but in general, this course will address key historical moments, especially the beginnings of rhetoric in antiquity and 20th century struggles against fascist rhetoric, alongside historical-critical perspectives on contemporary rhetorical theory and practice.",1,1
WRT300,Theories and Methods in Rhetoric and Writing,Undergraduate,3.0,"[['WRT102'], ['COM100']]",NONE,NONE,"An exploration of theories and methods of rhetoric and rhetorical criticism. Moving through historical approaches to rhetorical study to provide a foundation in rhetorical theory, the class examines contemporary methods in rhetoric research and practice to equip students with skills in invention, deliberation, and persuasion. The course includes a final project that uses contemporary rhetorical methods to examine the ethical practices underlying persuasion in every-day activities, communications, or objects.",1,1
WRT301,Writing in the Disciplines: Special Topics,Undergraduate,3.0,[['WRT102']],NONE,NONE,"Writing in specified academic disciplines is taught through the analysis of texts in appropriate fields to discover discourse conventions.  Students produce a variety of written projects typical of the genres in the field.  Different sections emphasize different disciplines.  Typical topics will be Technical Writing, Business Writing, Legal Writing, and Writing for the Health Professions.  May be repeated for credit as the topic changes.",1,1
WRT302,Critical Writing Seminar: Special Topics,Undergraduate,3.0,[['WRT102']],NONE,NONE,"A writing seminar, with rotating historical, political, social, literary, and artistic topics suggested by the professors each semester. Frequent substantial writing projects are central to every version of the course. May be repeated for credit as the topic changes.",1,1
WRT303,The Personal Essay,Undergraduate,3.0,[['WRT102']],NONE,NONE,"We all have stories to tell about our lives. In this course, we will explore how to tell them through the personal essay, a notoriously slippery and flexible form that we will engage by writing our own personal essays, as well as by reading and responding to writers who work in that genre. Students will also prepare a personal statement for their application to graduate or professional school, or for another academic or professional opportunity.",1,1
